.feature,sample,expression
Trim14,GSM2545380,25
Trim14,GSM2545341,12
Trim14,GSM2545346,34
Trim14,GSM2545347,31
Galnt12,GSM2545337,21
Galnt12,GSM2545338,18
Galnt12,GSM2545348,45
Galnt12,GSM2545353,51
Galnt12,GSM2545343,33
Galnt12,GSM2545349,41
Galnt12,GSM2545354,31
Galnt12,GSM2545336,49
Galnt12,GSM2545342,45
Galnt12,GSM2545351,52
Galnt12,GSM2545380,36
Galnt12,GSM2545341,34
Galnt12,GSM2545346,35
Galnt12,GSM2545347,40
Stx17,GSM2545337,998
Stx17,GSM2545338,973
Stx17,GSM2545348,1120
Stx17,GSM2545353,1084
Stx17,GSM2545343,1072
Stx17,GSM2545349,1040
Stx17,GSM2545354,938
Stx17,GSM2545336,1422
Stx17,GSM2545342,1137
Stx17,GSM2545351,1407
Stx17,GSM2545380,1257
Stx17,GSM2545341,1244
Stx17,GSM2545346,1140
Stx17,GSM2545347,1201
Gm12460,GSM2545337,0
Gm12460,GSM2545338,0
Gm12460,GSM2545348,0
Gm12460,GSM2545353,2
Gm12460,GSM2545343,0
Gm12460,GSM2545349,0
Gm12460,GSM2545354,0
Gm12460,GSM2545336,1
Gm12460,GSM2545342,0
Gm12460,GSM2545351,1
Gm12460,GSM2545380,0
Gm12460,GSM2545341,0
Gm12460,GSM2545346,0
Gm12460,GSM2545347,0
Smc2,GSM2545337,739
Smc2,GSM2545338,724
Smc2,GSM2545348,597
Smc2,GSM2545353,707
Smc2,GSM2545343,720
Smc2,GSM2545349,600
Smc2,GSM2545354,668
Smc2,GSM2545336,613
Smc2,GSM2545342,533
Smc2,GSM2545351,631
Smc2,GSM2545380,656
Smc2,GSM2545341,558
Smc2,GSM2545346,561
Smc2,GSM2545347,549
LOC105247136,GSM2545337,15
LOC105247136,GSM2545338,12
LOC105247136,GSM2545348,11
LOC105247136,GSM2545353,17
LOC105247136,GSM2545343,19
LOC105247136,GSM2545349,15
LOC105247136,GSM2545354,27
LOC105247136,GSM2545336,27
LOC105247136,GSM2545342,15
LOC105247136,GSM2545351,16
LOC105247136,GSM2545380,20
LOC105247136,GSM2545341,18
LOC105247136,GSM2545346,17
LOC105247136,GSM2545347,17
Gm12519,GSM2545337,1
Gm12519,GSM2545338,0
Gm12519,GSM2545348,0
Gm12519,GSM2545353,3
Gm12519,GSM2545343,1
Gm12519,GSM2545349,0
Gm12519,GSM2545354,0
Gm12519,GSM2545336,3
Gm12519,GSM2545342,1
Gm12519,GSM2545351,1
Gm12519,GSM2545380,0
Gm12519,GSM2545341,4
Gm12519,GSM2545346,4
Gm12519,GSM2545347,8
Tmem245,GSM2545337,1277
Tmem245,GSM2545338,1081
Tmem245,GSM2545348,897
Tmem245,GSM2545353,749
Tmem245,GSM2545343,1037
Tmem245,GSM2545349,834
Tmem245,GSM2545354,885
Tmem245,GSM2545336,854
Tmem245,GSM2545342,988
Tmem245,GSM2545351,849
Tmem245,GSM2545380,759
Tmem245,GSM2545341,1014
Tmem245,GSM2545346,795
Tmem245,GSM2545347,780
Slc31a1,GSM2545337,1627
Slc31a1,GSM2545338,1421
Slc31a1,GSM2545348,2028
Slc31a1,GSM2545353,2353
Slc31a1,GSM2545343,2321
Slc31a1,GSM2545349,1870
Slc31a1,GSM2545354,1903
Slc31a1,GSM2545336,1957
Slc31a1,GSM2545342,1349
Slc31a1,GSM2545351,2005
Slc31a1,GSM2545380,1892
Slc31a1,GSM2545341,1683
Slc31a1,GSM2545346,1893
Slc31a1,GSM2545347,2612
Prpf4,GSM2545337,1297
Prpf4,GSM2545338,1238
Prpf4,GSM2545348,1407
Prpf4,GSM2545353,1476
Prpf4,GSM2545343,1662
Prpf4,GSM2545349,1411
Prpf4,GSM2545354,1330
Prpf4,GSM2545336,1380
Prpf4,GSM2545342,1098
Prpf4,GSM2545351,1370
Prpf4,GSM2545380,1445
Prpf4,GSM2545341,1317
Prpf4,GSM2545346,1284
Prpf4,GSM2545347,1252
Orm1,GSM2545337,1
Orm1,GSM2545338,0
Orm1,GSM2545348,0
Orm1,GSM2545353,0
Orm1,GSM2545343,0
Orm1,GSM2545349,0
Orm1,GSM2545354,3
Orm1,GSM2545336,1
Orm1,GSM2545342,0
Orm1,GSM2545351,1
Orm1,GSM2545380,0
Orm1,GSM2545341,0
Orm1,GSM2545346,0
Orm1,GSM2545347,0
Lurap1l,GSM2545337,146
Lurap1l,GSM2545338,149
Lurap1l,GSM2545348,150
Lurap1l,GSM2545353,192
Lurap1l,GSM2545343,188
Lurap1l,GSM2545349,150
Lurap1l,GSM2545354,180
Lurap1l,GSM2545336,238
Lurap1l,GSM2545342,149
Lurap1l,GSM2545351,170
Lurap1l,GSM2545380,196
Lurap1l,GSM2545341,122
Lurap1l,GSM2545346,162
Lurap1l,GSM2545347,195
Gm5860,GSM2545337,2
Gm5860,GSM2545338,9
Gm5860,GSM2545348,4
Gm5860,GSM2545353,7
Gm5860,GSM2545343,9
Gm5860,GSM2545349,8
Gm5860,GSM2545354,2
Gm5860,GSM2545336,18
Gm5860,GSM2545342,5
Gm5860,GSM2545351,13
Gm5860,GSM2545380,11
Gm5860,GSM2545341,8
Gm5860,GSM2545346,7
Gm5860,GSM2545347,9
2310067E19Rik,GSM2545337,18
2310067E19Rik,GSM2545338,20
2310067E19Rik,GSM2545348,4
2310067E19Rik,GSM2545353,19
2310067E19Rik,GSM2545343,25
2310067E19Rik,GSM2545349,7
2310067E19Rik,GSM2545354,7
2310067E19Rik,GSM2545336,7
2310067E19Rik,GSM2545342,11
2310067E19Rik,GSM2545351,13
2310067E19Rik,GSM2545380,4
2310067E19Rik,GSM2545341,18
2310067E19Rik,GSM2545346,4
2310067E19Rik,GSM2545347,4
Gm11185,GSM2545337,0
Gm11185,GSM2545338,2
Gm11185,GSM2545348,1
Gm11185,GSM2545353,4
Gm11185,GSM2545343,5
Gm11185,GSM2545349,5
Gm11185,GSM2545354,2
Gm11185,GSM2545336,5
Gm11185,GSM2545342,2
Gm11185,GSM2545351,0
Gm11185,GSM2545380,2
Gm11185,GSM2545341,0
Gm11185,GSM2545346,3
Gm11185,GSM2545347,5
Gm10154,GSM2545337,3
Gm10154,GSM2545338,2
Gm10154,GSM2545348,10
Gm10154,GSM2545353,0
Gm10154,GSM2545343,8
Gm10154,GSM2545349,3
Gm10154,GSM2545354,3
Gm10154,GSM2545336,14
Gm10154,GSM2545342,3
Gm10154,GSM2545351,5
Gm10154,GSM2545380,5
Gm10154,GSM2545341,10
Gm10154,GSM2545346,3
Gm10154,GSM2545347,12
Gm12609,GSM2545337,0
Gm12609,GSM2545338,0
Gm12609,GSM2545348,0
Gm12609,GSM2545353,1
Gm12609,GSM2545343,1
Gm12609,GSM2545349,0
Gm12609,GSM2545354,0
Gm12609,GSM2545336,2
Gm12609,GSM2545342,0
Gm12609,GSM2545351,0
Gm12609,GSM2545380,0
Gm12609,GSM2545341,0
Gm12609,GSM2545346,1
Gm12609,GSM2545347,0
Eqtn,GSM2545337,96
Eqtn,GSM2545338,84
Eqtn,GSM2545348,82
Eqtn,GSM2545353,85
Eqtn,GSM2545343,84
Eqtn,GSM2545349,82
Eqtn,GSM2545354,73
Eqtn,GSM2545336,149
Eqtn,GSM2545342,134
Eqtn,GSM2545351,151
Eqtn,GSM2545380,172
Eqtn,GSM2545341,179
Eqtn,GSM2545346,153
Eqtn,GSM2545347,138
0610025J13Rik,GSM2545337,6
0610025J13Rik,GSM2545338,2
0610025J13Rik,GSM2545348,2
0610025J13Rik,GSM2545353,1
0610025J13Rik,GSM2545343,2
0610025J13Rik,GSM2545349,1
0610025J13Rik,GSM2545354,4
0610025J13Rik,GSM2545336,3
0610025J13Rik,GSM2545342,1
0610025J13Rik,GSM2545351,4
0610025J13Rik,GSM2545380,2
0610025J13Rik,GSM2545341,2
0610025J13Rik,GSM2545346,3
0610025J13Rik,GSM2545347,5
Mier1,GSM2545337,2296
Mier1,GSM2545338,2047
Mier1,GSM2545348,2467
Mier1,GSM2545353,2491
Mier1,GSM2545343,2452
Mier1,GSM2545349,2306
Mier1,GSM2545354,2233
Mier1,GSM2545336,2697
Mier1,GSM2545342,2325
Mier1,GSM2545351,2610
Mier1,GSM2545380,2695
Mier1,GSM2545341,2100
Mier1,GSM2545346,2337
Mier1,GSM2545347,2422
Gm36523,GSM2545337,3
Gm36523,GSM2545338,3
Gm36523,GSM2545348,2
Gm36523,GSM2545353,2
Gm36523,GSM2545343,7
Gm36523,GSM2545349,1
Gm36523,GSM2545354,3
Gm36523,GSM2545336,2
Gm36523,GSM2545342,5
Gm36523,GSM2545351,5
Gm36523,GSM2545380,8
Gm36523,GSM2545341,3
Gm36523,GSM2545346,6
Gm36523,GSM2545347,1
LOC105244642,GSM2545337,0
LOC105244642,GSM2545338,4
LOC105244642,GSM2545348,4
LOC105244642,GSM2545353,2
LOC105244642,GSM2545343,1
LOC105244642,GSM2545349,1
LOC105244642,GSM2545354,1
LOC105244642,GSM2545336,3
LOC105244642,GSM2545342,3
LOC105244642,GSM2545351,2
LOC105244642,GSM2545380,0
LOC105244642,GSM2545341,1
LOC105244642,GSM2545346,0
LOC105244642,GSM2545347,0
Ttc4,GSM2545337,1998
Ttc4,GSM2545338,2038
Ttc4,GSM2545348,2428
Ttc4,GSM2545353,2480
Ttc4,GSM2545343,2809
Ttc4,GSM2545349,2320
Ttc4,GSM2545354,2132
Ttc4,GSM2545336,2462
Ttc4,GSM2545342,2095
Ttc4,GSM2545351,2182
Ttc4,GSM2545380,2476
Ttc4,GSM2545341,2264
Ttc4,GSM2545346,1963
Ttc4,GSM2545347,2151
Cyb5rl,GSM2545337,92
Cyb5rl,GSM2545338,97
Cyb5rl,GSM2545348,98
Cyb5rl,GSM2545353,179
Cyb5rl,GSM2545343,132
Cyb5rl,GSM2545349,117
Cyb5rl,GSM2545354,119
Cyb5rl,GSM2545336,169
Cyb5rl,GSM2545342,133
Cyb5rl,GSM2545351,129
Cyb5rl,GSM2545380,175
Cyb5rl,GSM2545341,113
Cyb5rl,GSM2545346,135
Cyb5rl,GSM2545347,151
LOC100034661,GSM2545337,0
LOC100034661,GSM2545338,1
LOC100034661,GSM2545348,0
LOC100034661,GSM2545353,1
LOC100034661,GSM2545343,0
LOC100034661,GSM2545349,0
LOC100034661,GSM2545354,1
LOC100034661,GSM2545336,3
LOC100034661,GSM2545342,2
LOC100034661,GSM2545351,0
LOC100034661,GSM2545380,0
LOC100034661,GSM2545341,1
LOC100034661,GSM2545346,1
LOC100034661,GSM2545347,1
Gm12907,GSM2545337,7
Gm12907,GSM2545338,7
Gm12907,GSM2545348,8
Gm12907,GSM2545353,5
Gm12907,GSM2545343,3
Gm12907,GSM2545349,4
Gm12907,GSM2545354,3
Gm12907,GSM2545336,6
Gm12907,GSM2545342,8
Gm12907,GSM2545351,4
Gm12907,GSM2545380,7
Gm12907,GSM2545341,4
Gm12907,GSM2545346,3
Gm12907,GSM2545347,10
LOC105244651,GSM2545337,2
LOC105244651,GSM2545338,5
LOC105244651,GSM2545348,10
LOC105244651,GSM2545353,4
LOC105244651,GSM2545343,2
LOC105244651,GSM2545349,2
LOC105244651,GSM2545354,2
LOC105244651,GSM2545336,7
LOC105244651,GSM2545342,3
LOC105244651,GSM2545351,6
LOC105244651,GSM2545380,7
LOC105244651,GSM2545341,3
LOC105244651,GSM2545346,2
LOC105244651,GSM2545347,12
Gm32581,GSM2545337,0
Gm32581,GSM2545338,1
Gm32581,GSM2545348,0
Gm32581,GSM2545353,0
Gm32581,GSM2545343,0
Gm32581,GSM2545349,0
Gm32581,GSM2545354,1
Gm32581,GSM2545336,1
Gm32581,GSM2545342,0
Gm32581,GSM2545351,2
Gm32581,GSM2545380,0
Gm32581,GSM2545341,1
Gm32581,GSM2545346,1
Gm32581,GSM2545347,2
Ttc39a,GSM2545337,162
Ttc39a,GSM2545338,150
Ttc39a,GSM2545348,180
Ttc39a,GSM2545353,244
Ttc39a,GSM2545343,182
Ttc39a,GSM2545349,219
Ttc39a,GSM2545354,164
Ttc39a,GSM2545336,301
Ttc39a,GSM2545342,308
Ttc39a,GSM2545351,302
Ttc39a,GSM2545380,307
Ttc39a,GSM2545341,271
Ttc39a,GSM2545346,239
Ttc39a,GSM2545347,259
Cdkn2c,GSM2545337,121
Cdkn2c,GSM2545338,97
Cdkn2c,GSM2545348,123
Cdkn2c,GSM2545353,144
Cdkn2c,GSM2545343,122
Cdkn2c,GSM2545349,117
Cdkn2c,GSM2545354,115
Cdkn2c,GSM2545336,132
Cdkn2c,GSM2545342,105
Cdkn2c,GSM2545351,124
Cdkn2c,GSM2545380,144
Cdkn2c,GSM2545341,116
Cdkn2c,GSM2545346,163
Cdkn2c,GSM2545347,156
Trabd2b,GSM2545337,916
Trabd2b,GSM2545338,839
Trabd2b,GSM2545348,928
Trabd2b,GSM2545353,1133
Trabd2b,GSM2545343,841
Trabd2b,GSM2545349,1123
Trabd2b,GSM2545354,932
Trabd2b,GSM2545336,1228
Trabd2b,GSM2545342,1150
Trabd2b,GSM2545351,1160
Trabd2b,GSM2545380,1308
Trabd2b,GSM2545341,865
Trabd2b,GSM2545346,956
Trabd2b,GSM2545347,1268
LOC105244659,GSM2545337,1
LOC105244659,GSM2545338,1
LOC105244659,GSM2545348,2
LOC105244659,GSM2545353,2
LOC105244659,GSM2545343,1
LOC105244659,GSM2545349,2
LOC105244659,GSM2545354,0
LOC105244659,GSM2545336,2
LOC105244659,GSM2545342,0
LOC105244659,GSM2545351,3
LOC105244659,GSM2545380,2
LOC105244659,GSM2545341,2
LOC105244659,GSM2545346,1
LOC105244659,GSM2545347,1
Dmbx1,GSM2545337,33
Dmbx1,GSM2545338,22
Dmbx1,GSM2545348,26
Dmbx1,GSM2545353,28
Dmbx1,GSM2545343,35
Dmbx1,GSM2545349,57
Dmbx1,GSM2545354,23
Dmbx1,GSM2545336,45
Dmbx1,GSM2545342,23
Dmbx1,GSM2545351,25
Dmbx1,GSM2545380,43
Dmbx1,GSM2545341,36
Dmbx1,GSM2545346,29
Dmbx1,GSM2545347,28
AV051173,GSM2545337,3
AV051173,GSM2545338,5
AV051173,GSM2545348,5
AV051173,GSM2545353,8
AV051173,GSM2545343,5
AV051173,GSM2545349,4
AV051173,GSM2545354,1
AV051173,GSM2545336,7
AV051173,GSM2545342,8
AV051173,GSM2545351,4
AV051173,GSM2545380,4
AV051173,GSM2545341,3
AV051173,GSM2545346,1
AV051173,GSM2545347,3
LOC105244664,GSM2545337,1
LOC105244664,GSM2545338,0
LOC105244664,GSM2545348,0
LOC105244664,GSM2545353,0
LOC105244664,GSM2545343,0
LOC105244664,GSM2545349,3
LOC105244664,GSM2545354,2
LOC105244664,GSM2545336,1
LOC105244664,GSM2545342,0
LOC105244664,GSM2545351,2
LOC105244664,GSM2545380,0
LOC105244664,GSM2545341,1
LOC105244664,GSM2545346,0
LOC105244664,GSM2545347,1
B4galt2,GSM2545337,937
B4galt2,GSM2545338,906
B4galt2,GSM2545348,1291
B4galt2,GSM2545353,1257
B4galt2,GSM2545343,1282
B4galt2,GSM2545349,1138
B4galt2,GSM2545354,1019
B4galt2,GSM2545336,1204
B4galt2,GSM2545342,877
B4galt2,GSM2545351,1051
B4galt2,GSM2545380,1217
B4galt2,GSM2545341,837
B4galt2,GSM2545346,935
B4galt2,GSM2545347,1047
Edn2,GSM2545337,1
Edn2,GSM2545338,0
Edn2,GSM2545348,3
Edn2,GSM2545353,1
Edn2,GSM2545343,2
Edn2,GSM2545349,0
Edn2,GSM2545354,0
Edn2,GSM2545336,1
Edn2,GSM2545342,0
Edn2,GSM2545351,1
Edn2,GSM2545380,2
Edn2,GSM2545341,0
Edn2,GSM2545346,1
Edn2,GSM2545347,0
Oxct2a,GSM2545337,0
Oxct2a,GSM2545338,0
Oxct2a,GSM2545348,0
Oxct2a,GSM2545353,0
Oxct2a,GSM2545343,1
Oxct2a,GSM2545349,0
Oxct2a,GSM2545354,0
Oxct2a,GSM2545336,0
Oxct2a,GSM2545342,0
Oxct2a,GSM2545351,1
Oxct2a,GSM2545380,0
Oxct2a,GSM2545341,0
Oxct2a,GSM2545346,2
Oxct2a,GSM2545347,0
Gm31156,GSM2545337,0
Gm31156,GSM2545338,0
Gm31156,GSM2545348,0
Gm31156,GSM2545353,1
Gm31156,GSM2545343,1
Gm31156,GSM2545349,0
Gm31156,GSM2545354,0
Gm31156,GSM2545336,1
Gm31156,GSM2545342,1
Gm31156,GSM2545351,1
Gm31156,GSM2545380,0
Gm31156,GSM2545341,1
Gm31156,GSM2545346,0
Gm31156,GSM2545347,1
Csf3r,GSM2545337,69
Csf3r,GSM2545338,73
Csf3r,GSM2545348,68
Csf3r,GSM2545353,103
Csf3r,GSM2545343,109
Csf3r,GSM2545349,75
Csf3r,GSM2545354,100
Csf3r,GSM2545336,98
Csf3r,GSM2545342,77
Csf3r,GSM2545351,116
Csf3r,GSM2545380,91
Csf3r,GSM2545341,49
Csf3r,GSM2545346,98
Csf3r,GSM2545347,106
Oscp1,GSM2545337,415
Oscp1,GSM2545338,410
Oscp1,GSM2545348,500
Oscp1,GSM2545353,517
Oscp1,GSM2545343,494
Oscp1,GSM2545349,452
Oscp1,GSM2545354,418
Oscp1,GSM2545336,716
Oscp1,GSM2545342,451
Oscp1,GSM2545351,553
Oscp1,GSM2545380,575
Oscp1,GSM2545341,464
Oscp1,GSM2545346,557
Oscp1,GSM2545347,577
Ago4,GSM2545337,606
Ago4,GSM2545338,557
Ago4,GSM2545348,734
Ago4,GSM2545353,668
Ago4,GSM2545343,711
Ago4,GSM2545349,649
Ago4,GSM2545354,598
Ago4,GSM2545336,766
Ago4,GSM2545342,724
Ago4,GSM2545351,771
Ago4,GSM2545380,835
Ago4,GSM2545341,966
Ago4,GSM2545346,704
Ago4,GSM2545347,765
Gm12969,GSM2545337,2
Gm12969,GSM2545338,1
Gm12969,GSM2545348,1
Gm12969,GSM2545353,6
Gm12969,GSM2545343,2
Gm12969,GSM2545349,2
Gm12969,GSM2545354,4
Gm12969,GSM2545336,1
Gm12969,GSM2545342,6
Gm12969,GSM2545351,2
Gm12969,GSM2545380,0
Gm12969,GSM2545341,1
Gm12969,GSM2545346,1
Gm12969,GSM2545347,2
Rnf19b,GSM2545337,3856
Rnf19b,GSM2545338,3819
Rnf19b,GSM2545348,4364
Rnf19b,GSM2545353,5011
Rnf19b,GSM2545343,4774
Rnf19b,GSM2545349,4625
Rnf19b,GSM2545354,4336
Rnf19b,GSM2545336,4897
Rnf19b,GSM2545342,3684
Rnf19b,GSM2545351,4477
Rnf19b,GSM2545380,5236
Rnf19b,GSM2545341,3759
Rnf19b,GSM2545346,3826
Rnf19b,GSM2545347,4689
S100pbp,GSM2545337,1824
S100pbp,GSM2545338,1650
S100pbp,GSM2545348,2196
S100pbp,GSM2545353,2353
S100pbp,GSM2545343,2218
S100pbp,GSM2545349,2128
S100pbp,GSM2545354,1971
S100pbp,GSM2545336,2644
S100pbp,GSM2545342,2130
S100pbp,GSM2545351,2373
S100pbp,GSM2545380,2588
S100pbp,GSM2545341,1988
S100pbp,GSM2545346,2150
S100pbp,GSM2545347,2349
Sdc3,GSM2545337,7869
Sdc3,GSM2545338,7535
Sdc3,GSM2545348,9657
Sdc3,GSM2545353,10516
Sdc3,GSM2545343,10193
Sdc3,GSM2545349,10188
Sdc3,GSM2545354,9308
Sdc3,GSM2545336,11595
Sdc3,GSM2545342,8854
Sdc3,GSM2545351,10335
Sdc3,GSM2545380,11397
Sdc3,GSM2545341,7497
Sdc3,GSM2545346,9459
Sdc3,GSM2545347,9598
Gm36157,GSM2545337,39
Gm36157,GSM2545338,27
Gm36157,GSM2545348,58
Gm36157,GSM2545353,57
Gm36157,GSM2545343,45
Gm36157,GSM2545349,46
Gm36157,GSM2545354,23
Gm36157,GSM2545336,58
Gm36157,GSM2545342,60
Gm36157,GSM2545351,58
Gm36157,GSM2545380,61
Gm36157,GSM2545341,61
Gm36157,GSM2545346,64
Gm36157,GSM2545347,48
Gmeb1,GSM2545337,804
Gmeb1,GSM2545338,756
Gmeb1,GSM2545348,988
Gmeb1,GSM2545353,1074
Gmeb1,GSM2545343,1058
Gmeb1,GSM2545349,996
Gmeb1,GSM2545354,971
Gmeb1,GSM2545336,947
Gmeb1,GSM2545342,781
Gmeb1,GSM2545351,933
Gmeb1,GSM2545380,984
Gmeb1,GSM2545341,734
Gmeb1,GSM2545346,803
Gmeb1,GSM2545347,897
Phactr4,GSM2545337,961
Phactr4,GSM2545338,911
Phactr4,GSM2545348,1032
Phactr4,GSM2545353,1134
Phactr4,GSM2545343,1132
Phactr4,GSM2545349,1015
Phactr4,GSM2545354,1169
Phactr4,GSM2545336,1163
Phactr4,GSM2545342,1016
Phactr4,GSM2545351,1081
Phactr4,GSM2545380,1102
Phactr4,GSM2545341,944
Phactr4,GSM2545346,975
Phactr4,GSM2545347,1087
Eya3,GSM2545337,1417
Eya3,GSM2545338,1255
Eya3,GSM2545348,1695
Eya3,GSM2545353,1703
Eya3,GSM2545343,1610
Eya3,GSM2545349,1555
Eya3,GSM2545354,1497
Eya3,GSM2545336,1534
Eya3,GSM2545342,1411
Eya3,GSM2545351,1416
Eya3,GSM2545380,1446
Eya3,GSM2545341,1245
Eya3,GSM2545346,1301
Eya3,GSM2545347,1356
Tmem50a,GSM2545337,1513
Tmem50a,GSM2545338,1297
Tmem50a,GSM2545348,1759
Tmem50a,GSM2545353,1869
Tmem50a,GSM2545343,1980
Tmem50a,GSM2545349,1748
Tmem50a,GSM2545354,1577
Tmem50a,GSM2545336,2228
Tmem50a,GSM2545342,1367
Tmem50a,GSM2545351,1831
Tmem50a,GSM2545380,2239
Tmem50a,GSM2545341,1320
Tmem50a,GSM2545346,1895
Tmem50a,GSM2545347,2042
Rpl11,GSM2545337,3975
Rpl11,GSM2545338,3742
Rpl11,GSM2545348,4444
Rpl11,GSM2545353,5072
Rpl11,GSM2545343,5011
Rpl11,GSM2545349,4069
Rpl11,GSM2545354,4025
Rpl11,GSM2545336,6112
Rpl11,GSM2545342,3223
Rpl11,GSM2545351,4875
Rpl11,GSM2545380,6399
Rpl11,GSM2545341,3884
Rpl11,GSM2545346,5004
Rpl11,GSM2545347,4822
Ephb2,GSM2545337,1986
Ephb2,GSM2545338,1630
Ephb2,GSM2545348,2352
Ephb2,GSM2545353,2199
Ephb2,GSM2545343,2319
Ephb2,GSM2545349,2067
Ephb2,GSM2545354,1903
Ephb2,GSM2545336,1706
Ephb2,GSM2545342,1467
Ephb2,GSM2545351,1693
Ephb2,GSM2545380,1977
Ephb2,GSM2545341,1283
Ephb2,GSM2545346,1528
Ephb2,GSM2545347,1561
Ldlrad2,GSM2545337,8
Ldlrad2,GSM2545338,3
Ldlrad2,GSM2545348,7
Ldlrad2,GSM2545353,6
Ldlrad2,GSM2545343,10
Ldlrad2,GSM2545349,5
Ldlrad2,GSM2545354,10
Ldlrad2,GSM2545336,12
Ldlrad2,GSM2545342,3
Ldlrad2,GSM2545351,3
Ldlrad2,GSM2545380,3
Ldlrad2,GSM2545341,2
Ldlrad2,GSM2545346,0
Ldlrad2,GSM2545347,5
LOC105247192,GSM2545337,14
LOC105247192,GSM2545338,25
LOC105247192,GSM2545348,23
LOC105247192,GSM2545353,23
LOC105247192,GSM2545343,36
LOC105247192,GSM2545349,18
LOC105247192,GSM2545354,28
LOC105247192,GSM2545336,18
LOC105247192,GSM2545342,30
LOC105247192,GSM2545351,20
LOC105247192,GSM2545380,12
LOC105247192,GSM2545341,25
LOC105247192,GSM2545346,29
LOC105247192,GSM2545347,17
Gm32871,GSM2545337,0
Gm32871,GSM2545338,0
Gm32871,GSM2545348,3
Gm32871,GSM2545353,1
Gm32871,GSM2545343,0
Gm32871,GSM2545349,0
Gm32871,GSM2545354,0
Gm32871,GSM2545336,0
Gm32871,GSM2545342,0
Gm32871,GSM2545351,0
Gm32871,GSM2545380,2
Gm32871,GSM2545341,0
Gm32871,GSM2545346,0
Gm32871,GSM2545347,1
Gm33304,GSM2545337,0
Gm33304,GSM2545338,1
Gm33304,GSM2545348,0
Gm33304,GSM2545353,1
Gm33304,GSM2545343,3
Gm33304,GSM2545349,3
Gm33304,GSM2545354,1
Gm33304,GSM2545336,2
Gm33304,GSM2545342,1
Gm33304,GSM2545351,3
Gm33304,GSM2545380,1
Gm33304,GSM2545341,2
Gm33304,GSM2545346,0
Gm33304,GSM2545347,0
Mrto4,GSM2545337,744
Mrto4,GSM2545338,670
Mrto4,GSM2545348,836
Mrto4,GSM2545353,1019
Mrto4,GSM2545343,980
Mrto4,GSM2545349,787
Mrto4,GSM2545354,768
Mrto4,GSM2545336,963
Mrto4,GSM2545342,681
Mrto4,GSM2545351,840
Mrto4,GSM2545380,1066
Mrto4,GSM2545341,698
Mrto4,GSM2545346,758
Mrto4,GSM2545347,783
LOC105247195,GSM2545337,0
LOC105247195,GSM2545338,0
LOC105247195,GSM2545348,0
LOC105247195,GSM2545353,1
LOC105247195,GSM2545343,0
LOC105247195,GSM2545349,0
LOC105247195,GSM2545354,0
LOC105247195,GSM2545336,3
LOC105247195,GSM2545342,0
LOC105247195,GSM2545351,1
LOC105247195,GSM2545380,0
LOC105247195,GSM2545341,0
LOC105247195,GSM2545346,0
LOC105247195,GSM2545347,0
Arhgef19,GSM2545337,639
Arhgef19,GSM2545338,612
Arhgef19,GSM2545348,782
Arhgef19,GSM2545353,889
Arhgef19,GSM2545343,801
Arhgef19,GSM2545349,890
Arhgef19,GSM2545354,697
Arhgef19,GSM2545336,763
Arhgef19,GSM2545342,610
Arhgef19,GSM2545351,816
Arhgef19,GSM2545380,924
Arhgef19,GSM2545341,612
Arhgef19,GSM2545346,663
Arhgef19,GSM2545347,908
Hspb7,GSM2545337,4
Hspb7,GSM2545338,1
Hspb7,GSM2545348,3
Hspb7,GSM2545353,2
Hspb7,GSM2545343,3
Hspb7,GSM2545349,3
Hspb7,GSM2545354,2
Hspb7,GSM2545336,5
Hspb7,GSM2545342,4
Hspb7,GSM2545351,6
Hspb7,GSM2545380,4
Hspb7,GSM2545341,2
Hspb7,GSM2545346,4
Hspb7,GSM2545347,1
AI507597,GSM2545337,2
AI507597,GSM2545338,0
AI507597,GSM2545348,0
AI507597,GSM2545353,4
AI507597,GSM2545343,0
AI507597,GSM2545349,1
AI507597,GSM2545354,0
AI507597,GSM2545336,0
AI507597,GSM2545342,1
AI507597,GSM2545351,2
AI507597,GSM2545380,1
AI507597,GSM2545341,2
AI507597,GSM2545346,2
AI507597,GSM2545347,0
Gm35752,GSM2545337,5
Gm35752,GSM2545338,7
Gm35752,GSM2545348,2
Gm35752,GSM2545353,3
Gm35752,GSM2545343,9
Gm35752,GSM2545349,8
Gm35752,GSM2545354,5
Gm35752,GSM2545336,7
Gm35752,GSM2545342,8
Gm35752,GSM2545351,3
Gm35752,GSM2545380,5
Gm35752,GSM2545341,5
Gm35752,GSM2545346,7
Gm35752,GSM2545347,4
Lrrc38,GSM2545337,236
Lrrc38,GSM2545338,226
Lrrc38,GSM2545348,302
Lrrc38,GSM2545353,340
Lrrc38,GSM2545343,295
Lrrc38,GSM2545349,244
Lrrc38,GSM2545354,267
Lrrc38,GSM2545336,385
Lrrc38,GSM2545342,306
Lrrc38,GSM2545351,314
Lrrc38,GSM2545380,348
Lrrc38,GSM2545341,313
Lrrc38,GSM2545346,307
Lrrc38,GSM2545347,377
Anp32b-ps1,GSM2545337,7
Anp32b-ps1,GSM2545338,1
Anp32b-ps1,GSM2545348,6
Anp32b-ps1,GSM2545353,6
Anp32b-ps1,GSM2545343,3
Anp32b-ps1,GSM2545349,4
Anp32b-ps1,GSM2545354,5
Anp32b-ps1,GSM2545336,5
Anp32b-ps1,GSM2545342,2
Anp32b-ps1,GSM2545351,6
